danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.61,0.802,-4.582,0.0281,0.509,0.0149,0.104,0.756,122.071,4.0696666666666665
0.782,0.71,-4.394,0.0382,0.0447,0.0,0.095,0.762,115.995,4.815333333333333
0.583,0.241,-19.484,0.0361,0.766,0.381,0.0959,0.4,174.075,4.5366
0.567,0.159,-13.648,0.0331,0.914,0.0,0.111,0.436,146.913,2.63155
0.457,0.129,-11.435,0.0324,0.715,2.25e-05,0.159,0.234,111.031,5.226933333333333
0.493,0.211,-12.622,0.0655,0.754,1.09e-05,0.116,0.236,58.574,3.9635666666666665
0.647,0.335,-10.251,0.033,0.29,0.000109,0.0967,0.746,138.062,2.37445
0.412,0.599,-7.083,0.0377,0.0356,0.00012,0.336,0.268,105.693,5.042883333333333
0.483,0.687,-9.066,0.0306,0.0731,0.000275,0.373,0.698,129.991,3.05555
0.414,0.429,-9.469,0.028,0.525,0.81,0.111,0.135,79.227,6.96155
0.728,0.249,-15.429,0.0328,0.327,0.216,0.0875,0.452,93.683,3.263333333333333
0.742,0.603,-8.571,0.0805,0.0622,0.0,0.101,0.625,92.03,3.691116666666667
0.706,0.315,-11.846,0.0339,0.364,0.821,0.11,0.647,76.908,4.15165
0.462,0.443,-14.335,0.045,0.853,0.491,0.11,0.567,119.756,6.651383333333333
0.442,0.591,-9.595,0.0279,0.0707,0.391,0.133,0.419,89.607,3.806216666666667
0.847,0.6,-9.092,0.0351,0.825,0.00231,0.0922,0.212,121.999,3.3937166666666667
0.567,0.666,-9.647,0.0298,0.0244,0.251,0.107,0.251,106.001,5.091483333333334
0.691,0.754,-6.185,0.191,0.0396,0.0,0.326,0.723,90.842,3.60475
0.693,0.839,-3.325,0.172,0.0653,0.0,0.776,0.773,93.049,4.267333333333333
0.497,0.561,-10.938,0.0607,0.393,0.00279,0.137,0.566,163.981,2.56645
0.648,0.556,-6.492,0.0335,0.226,0.0,0.176,0.592,80.225,3.342633333333333
0.884,0.653,-7.653,0.0586,0.371,0.00135,0.812,0.766,108.548,2.90355
0.658,0.0742,-17.711,0.0961,0.979,0.000736,0.13,0.362,161.312,2.711116666666667
0.277,0.162,-13.733,0.0376,0.983,0.117,0.112,0.257,173.284,4.226666666666667
0.591,0.371,-18.5,0.12,0.874,0.17,0.0905,0.158,119.869,4.637783333333333
0.63,0.569,-7.495,0.031,0.0726,0.000136,0.272,0.523,84.982,3.9473333333333334
0.549,0.524,-9.319,0.0522,0.597,0.0154,0.0996,0.329,129.773,3.7241833333333334
0.324,0.588,-8.32,0.0328,0.433,0.0492,0.184,0.316,92.016,8.609116666666667
0.564,0.76,-7.243,0.0451,0.273,0.0,0.124,0.6,117.932,3.4962833333333334
0.73,0.669,-7.934,0.0565,0.58,0.0036,0.103,0.848,118.209,4.778883333333333
0.454,0.691,-6.173,0.0344,0.193,1.33e-06,0.105,0.405,78.539,3.16025
0.362,0.872,-2.769,0.0502,0.0588,8.64e-06,0.123,0.617,164.865,3.61215
0.631,0.0341,-11.791,0.0514,0.93,0.926,0.101,0.291,78.997,2.142516666666667
0.542,0.347,-14.011,0.0268,0.783,0.0,0.144,0.596,103.709,2.354
0.565,0.755,-7.402,0.0406,0.258,0.00976,0.219,0.499,172.01,3.2347166666666665
0.693,0.572,-10.491,0.041,0.308,0.000405,0.0736,0.867,109.816,3.4849833333333335
0.459,0.5,-11.337,0.0367,0.827,0.908,0.356,0.276,149.861,7.2307
0.811,0.553,-9.257,0.0447,0.625,0.159,0.202,0.765,100.547,4.366933333333333
0.525,0.717,-6.06,0.0339,0.0716,0.575,0.121,0.211,130.898,4.717116666666667
0.665,0.797,-9.172,0.0419,0.124,0.0173,0.0958,0.717,143.176,3.38485
0.7,0.515,-5.546,0.0299,0.44,0.0,0.126,0.771,92.524,2.6238333333333332
0.647,0.414,-13.219,0.0985,0.0309,0.85,0.183,0.967,101.301,4.972216666666666
0.675,0.57,-9.402,0.0348,0.811,9.31e-05,0.0788,0.575,101.981,4.588
0.757,0.588,-8.083,0.0322,0.693,0.777,0.471,0.96,112.567,3.472
0.638,0.473,-13.058,0.0382,0.19,0.423,0.374,0.454,129.954,4.75
0.704,0.603,-10.501,0.0334,0.00256,0.196,0.0656,0.668,111.98,6.5
0.708,0.802,-4.49,0.03,0.00376,0.219,0.11,0.741,117.021,3.8984666666666667
0.651,0.465,-7.538,0.0328,0.503,0.0455,0.495,0.585,107.75,3.284
0.562,0.212,-16.682,0.0363,0.645,0.722,0.152,0.31,115.926,3.5903833333333335
0.63,0.377,-13.728,0.0307,0.709,0.0821,0.0994,0.216,93.978,3.3162166666666666
0.53,0.633,-7.078,0.0283,0.391,0.0152,0.142,0.605,140.186,3.4407666666666668
0.537,0.414,-7.952,0.0404,0.218,2.1e-06,0.103,0.459,117.101,6.2442166666666665
0.641,0.269,-15.927,0.0392,0.986,0.96,0.141,0.578,129.766,3.7708833333333334
0.723,0.703,-9.495,0.0318,0.0272,0.313,0.0979,0.767,129.725,5.153116666666667
0.665,0.758,-6.354,0.028,0.00451,0.739,0.312,0.761,131.025,4.7442166666666665
0.864,0.385,-11.553,0.0454,0.102,0.0539,0.143,0.665,113.014,3.428
0.659,0.387,-13.172,0.0335,0.467,0.692,0.0839,0.0779,114.989,4.65955
0.566,0.757,-8.37,0.0355,0.328,0.84,0.396,0.403,102.016,4.45335
0.663,0.502,-11.988,0.0399,0.246,0.772,0.0711,0.118,100.008,4.455066666666666
0.598,0.63,-10.492,0.025,0.566,0.338,0.179,0.697,108.947,7.277566666666667
